m,k,nodes,edges,girth,is_bipartite,spectral_asymmetry,diameter,radius,graph_energy,lambda_max,lambda_min,algebraic_connectivity,avg_clustering_coeff,avg_shortest_path
4,11,104,156,4,False,0.019435075408654523,25,13,161.9245388756122,2.9999999999999925,-2.980564924591338,0.019435075408653465,0.0,9.084391336818522
4,12,112,168,4,False,0.016761550139301917,27,14,174.55941534107941,3.0000000000000053,-2.9832384498607034,0.016761550139302323,0.0,9.72972972972973
4,13,120,180,4,False,0.014603811395343946,29,15,187.1968286926218,3.0000000000000044,-2.9853961886046605,0.01460381139533934,0.0,10.377591036414566
4,14,128,192,4,False,0.012837279019966008,31,16,199.83606105194548,3.0000000000000058,-2.9871627209800398,0.012837279019943432,0.0,11.027559055118111
4,15,136,204,4,False,0.011372823730674941,33,17,212.4765933518987,3.0000000000000084,-2.9886271762693335,0.011372823730662453,0.0,11.679302832244009
4,16,144,216,4,False,0.010145319242292672,35,18,225.118052222938,3.000000000000001,-2.989854680757708,0.010145319242291572,0.0,12.332556332556333
4,17,152,228,4,False,0.009106285136342596,37,19,237.76017020607082,3.0000000000000027,-2.99089371486366,0.009106285136354395,0.0,12.987103520390379
4,18,160,240,4,False,0.008219031683565081,39,20,250.40275632692584,3.0000000000000093,-2.9917809683164442,0.008219031683545389,0.0,13.642767295597483
4,19,168,252,4,False,0.007455379630846526,41,21,263.0456745606025,3.0000000000000187,-2.992544620369172,0.007455379630824602,0.0,14.29940119760479
4,20,176,264,4,False,0.006793397120125277,43,22,275.6888282025807,3.000000000000003,-2.993206602879878,0.006793397120113377,0.0,14.956883116883116
4,21,184,276,4,False,0.006215808688719626,45,23,288.332148599384,2.9999999999999982,-2.9937841913112786,0.006215808688716462,0.0,15.61511047754811
4,22,192,288,4,False,0.005708857593295313,47,24,300.97558706311065,3.0,-2.9942911424067047,0.005708857593304319,0.0,16.273996509598604
4,23,200,300,4,False,0.0052614796517120865,49,25,313.61910909208564,3.000000000000015,-2.994738520348303,0.0052614796517027745,0.0,16.933467336683417
4,24,208,312,4,False,0.004864694810560177,51,26,326.2626902515219,2.9999999999999933,-2.995135305189433,0.004864694810564812,0.0,17.593459680416203
4,25,216,324,4,False,0.0045111532559865,53,27,338.90631324356127,2.9999999999999996,-2.995488846744013,0.004511153255989724,0.0,18.253919035314386
4,26,224,336,4,False,0.004194792785590096,55,28,351.54996582653405,3.000000000000011,-2.995805207214421,0.00419479278559268,0.0,18.91479820627803
4,27,232,348,4,False,0.003910577332955967,57,29,364.19363933900473,3.0000000000000098,-2.996089422667054,0.003910577332944777,0.0,19.576056127780266
4,28,240,360,4,False,0.0036542954002878325,59,30,376.8373276537069,2.999999999999997,-2.996345704599709,0.0036542954002934105,0.0,20.23765690376569
4,29,248,372,4,False,0.003422403212693048,61,31,389.481026436622,2.9999999999999933,-2.9965775967873003,0.0034224032127059476,0.0,20.89956902181011
4,30,256,384,4,False,0.0032119016038536508,63,32,402.1247326224243,3.0000000000000027,-2.996788098396149,0.0032119016038475883,0.0,21.561764705882354
4,31,264,396,4,False,0.003020238591479707,65,33,414.7684440432381,2.9999999999999987,-2.996979761408519,0.0030202385914735266,0.0,22.224219380112917
4,32,272,408,4,False,0.002845231693870076,67,34,427.41215916595775,2.999999999999992,-2.997154768306122,0.0028452316938690787,0.0,22.886911222053396
4,33,280,420,4,False,0.0026850055456391075,69,35,440.0558769064189,2.9999999999999876,-2.9973149944543485,0.0026850055456407065,0.0,23.549820788530464
4,34,288,432,4,False,0.002537941463316873,71,36,452.6995964979527,2.999999999999995,-2.9974620585366782,0.002537941463322216,0.0,24.21293070073558
4,35,296,444,4,False,0.002402636415269388,73,37,465.34331739841844,3.0,-2.9975973635847306,0.0024026364152762015,0.0,24.876225377920292
4,36,304,456,4,False,0.002277869443759073,75,38,477.98703922445196,3.0000000000000058,-2.9977221305562467,0.00227786944376091,0.0,25.539690811186382
4,37,312,468,4,False,0.002162574031578046,77,39,490.63076170496663,3.0000000000000013,-2.9978374259684233,0.002162574031603595,0.0,26.203314370516942
4,38,320,480,4,False,0.0020558152406198182,79,40,503.2744846482735,2.999999999999994,-2.997944184759374,0.0020558152406281744,0.0,26.867084639498433
4,39,328,492,4,False,0.001956770702773003,81,41,515.9182079188251,3.0000000000000027,-2.9980432292972297,0.0019567707027735868,0.0,27.530991273215484
4,40,336,504,4,False,0.0018647147393915375,83,42,528.5619314207752,3.0000000000000053,-2.998135285260614,0.001864714739393143,0.0,28.19502487562189
4,41,344,516,4,False,0.001779005034111325,85,43,541.2056550863483,2.999999999999994,-2.9982209949658825,0.0017790050341179135,0.0,28.859176893348703
